Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name	Strand
evm.TU.scaffold_100.80	98658935	98664240	chr4	1
evm.TU.scaffold_1008.1	59030013	59042022	chr10	-1
evm.TU.scaffold_1008.2	58952956	58953241	chr10	-1
evm.TU.scaffold_100.82	98693281	98694090	chr4	1
evm.TU.scaffold_1008.3	58768095	58769009	chr10	1
evm.TU.scaffold_1008.4	58756869	58757970	chr10	1
evm.TU.scaffold_100.84	98716416	98718474	chr4	1
evm.TU.scaffold_1008.5	58577813	58587191	chr10	1
evm.TU.scaffold_100.85	98722475	98723656	chr4	-1
evm.TU.scaffold_1008.6	58512602	58512931	chr10	-1
evm.TU.scaffold_100.86	98729506	98747041	chr4	-1
evm.TU.scaffold_100.87	98750486	98753805	chr4	1
evm.TU.scaffold_100.88	98761428	98762159	chr4	1
evm.TU.scaffold_100.89	98764780	98791239	chr4	-1
evm.TU.scaffold_100.90	98801600	98802541	chr4	-1
evm.TU.scaffold_1009.1	48346	48823	original_scaffold_1009	1
evm.TU.scaffold_100.91	98806308	98820139	chr4	-1
evm.TU.scaffold_1009.2	59690	59867	original_scaffold_1009	1
evm.TU.scaffold_100.92	98828966	98846083	chr4	-1
evm.TU.scaffold_100.93	98851609	98856966	chr4	-1
evm.TU.scaffold_100.94	98870998	98899667	chr4	1
evm.TU.scaffold_100.95	98899737	98903147	chr4	1
evm.TU.scaffold_100.96	98903149	98907335	chr4	1
evm.TU.scaffold_100.97	98908354	98909256	chr4	1
evm.TU.scaffold_100.98	98911518	98912307	chr4	1
evm.TU.scaffold_100.9	97377241	97377942	chr4	1
evm.TU.scaffold_100.99	98923377	98934803	chr4	1
evm.TU.scaffold_101.10	39316186	39411664	chr6	1
evm.TU.scaffold_1011.11	123530737	123550534	chr3	-1
evm.TU.scaffold_1011.12	123442599	123444024	chr3	1
evm.TU.scaffold_1011.13	123384973	123385641	chr3	1
evm.TU.scaffold_101.11	39277414	39287206	chr6	1
evm.TU.scaffold_1011.14	123254364	123255455	chr3	-1
evm.TU.scaffold_1011.2	123962342	123962914	chr3	-1
evm.TU.scaffold_101.12	39189039	39202543	chr6	1
evm.TU.scaffold_1011.3	123935533	123936965	chr3	-1
evm.TU.scaffold_101.1	39785652	39789827	chr6	-1
evm.TU.scaffold_1011.4	123900014	123901385	chr3	-1
evm.TU.scaffold_101.14	39068514	39077038	chr6	1
evm.TU.scaffold_1011.5	123809215	123813376	chr3	1
evm.TU.scaffold_101.15	38963843	38971836	chr6	1
evm.TU.scaffold_1011.7	123783908	123784720	chr3	-1
evm.TU.scaffold_101.17	38821921	38871318	chr6	1
evm.TU.scaffold_101.18	38810079	38811172	chr6	1
evm.TU.scaffold_101.19	38769026	38778567	chr6	1
evm.TU.scaffold_101.20	38763102	38763686	chr6	-1
evm.TU.scaffold_101.21	38729962	38754257	chr6	1
evm.TU.scaffold_101.22	38673494	38694607	chr6	-1
evm.TU.scaffold_101.23	38653644	38656250	chr6	1
evm.TU.scaffold_101.2	39734987	39739918	chr6	-1
evm.TU.scaffold_101.24	38586638	38617531	chr6	1
evm.TU.scaffold_101.25	38567196	38569832	chr6	-1
evm.TU.scaffold_101.26	38544402	38548851	chr6	-1
evm.TU.scaffold_101.27	38526634	38535655	chr6	-1
evm.TU.scaffold_101.28	38523025	38524605	chr6	1
evm.TU.scaffold_101.29	38513021	38515849	chr6	1
evm.TU.scaffold_101.30	38424275	38505442	chr6	1
evm.TU.scaffold_1013.10	5263395	5265073	chr8	-1
evm.TU.scaffold_1013.12	5161080	5166786	chr8	-1
evm.TU.scaffold_1013.13	5133019	5134338	chr8	-1
evm.TU.scaffold_101.31	38398921	38415236	chr6	1
evm.TU.scaffold_1013.14	5051788	5055518	chr8	-1
evm.TU.scaffold_1013.1	5422200	5435710	chr8	-1
evm.TU.scaffold_1013.15	5033973	5034871	chr8	-1
evm.TU.scaffold_1013.16	5000083	5019251	chr8	1
evm.TU.scaffold_1013.17	4991580	4995298	chr8	-1
evm.TU.scaffold_1013.18	4983100	4985963	chr8	-1
evm.TU.scaffold_1013.19	4969187	4970079	chr8	1
evm.TU.scaffold_1013.20	4934608	4935057	chr8	1
evm.TU.scaffold_1013.21	4827276	4830081	chr8	1
evm.TU.scaffold_1013.22	4785171	4792108	chr8	1
evm.TU.scaffold_1013.23	4702318	4721736	chr8	1
evm.TU.scaffold_101.32	38396925	38397158	chr6	-1
evm.TU.scaffold_1013.24	4672816	4674478	chr8	1
evm.TU.scaffold_1013.2	5418574	5420483	chr8	-1
evm.TU.scaffold_1013.25	4640484	4651373	chr8	-1
evm.TU.scaffold_1013.26	4634833	4637271	chr8	-1
evm.TU.scaffold_1013.27	4631173	4634089	chr8	1
evm.TU.scaffold_1013.28	4611589	4611960	chr8	-1
evm.TU.scaffold_1013.29	4602383	4610878	chr8	1
evm.TU.scaffold_1013.30	4577533	4580385	chr8	1
evm.TU.scaffold_1013.31	4557160	4572212	chr8	1
evm.TU.scaffold_1013.32	4526520	4548189	chr8	1
evm.TU.scaffold_1013.33	4518696	4520613	chr8	1
evm.TU.scaffold_101.33	38384206	38395612	chr6	-1
evm.TU.scaffold_1013.34	4513744	4516986	chr8	1
evm.TU.scaffold_1013.3	5392028	5418021	chr8	-1
evm.TU.scaffold_1013.35	4418530	4511930	chr8	1
evm.TU.scaffold_1013.36	4404115	4406276	chr8	-1
evm.TU.scaffold_1013.37	4382252	4398363	chr8	1
evm.TU.scaffold_1013.38	4369489	4373726	chr8	1
evm.TU.scaffold_1013.39	4368305	4369405	chr8	1
evm.TU.scaffold_101.3	39730768	39733973	chr6	1
evm.TU.scaffold_1013.40	4319538	4320053	chr8	1
evm.TU.scaffold_1013.42_evm.TU.scaffold_1013.43	4219815	4231557	chr8	-1
evm.TU.scaffold_101.34	38373815	38382497	chr6	1
evm.TU.scaffold_1013.44	4164494	4173904	chr8	-1
evm.TU.scaffold_1013.4	5367610	5383037	chr8	-1
evm.TU.scaffold_1013.45	4056701	4070191	chr8	-1
evm.TU.scaffold_1013.46	4047631	4048377	chr8	-1
evm.TU.scaffold_1013.47	4005223	4005534	chr8	-1
evm.TU.scaffold_101.35	38352491	38368892	chr6	1
evm.TU.scaffold_1013.5	5363725	5366420	chr8	1
evm.TU.scaffold_101.36	38338561	38349089	chr6	1
evm.TU.scaffold_1013.6	5339752	5348660	chr8	-1
evm.TU.scaffold_101.37	38288570	38297090	chr6	1
evm.TU.scaffold_1013.7	5294169	5297302	chr8	-1
evm.TU.scaffold_101.38	38263358	38276318	chr6	-1
evm.TU.scaffold_1013.8	5275357	5293459	chr8	1
evm.TU.scaffold_101.39	38236732	38255828	chr6	1
evm.TU.scaffold_1013.9	5274999	5275313	chr8	-1
evm.TU.scaffold_101.40	38216538	38229680	chr6	-1
evm.TU.scaffold_1014.10	75264986	75273358	chr2	1
evm.TU.scaffold_1014.11	75291869	75304451	chr2	-1
evm.TU.scaffold_1014.12	75306340	75310165	chr2	1
evm.TU.scaffold_101.41	38205620	38207881	chr6	1
evm.TU.scaffold_1014.14	75326239	75337639	chr2	1
evm.TU.scaffold_1014.15	75347270	75348093	chr2	-1
evm.TU.scaffold_1014.16	75385304	75401934	chr2	-1
evm.TU.scaffold_1014.1	74976262	74978042	chr2	1
evm.TU.scaffold_1014.17	75424733	75435435	chr2	1
evm.TU.scaffold_1014.18	75453783	75458241	chr2	1
evm.TU.scaffold_1014.19	75462710	75472546	chr2	-1
evm.TU.scaffold_1014.20	75484490	75493457	chr2	-1
evm.TU.scaffold_1014.21	75510325	75515946	chr2	1
evm.TU.scaffold_1014.22	75519382	75536803	chr2	-1
evm.TU.scaffold_1014.23	75557659	75569233	chr2	-1
evm.TU.scaffold_101.42	38197822	38202369	chr6	-1
evm.TU.scaffold_1014.24	75613552	75625598	chr2	-1
evm.TU.scaffold_1014.25	75635366	75637389	chr2	1
evm.TU.scaffold_1014.26	75644678	75693246	chr2	-1
evm.TU.scaffold_1014.2	75001194	75003515	chr2	1
evm.TU.scaffold_1014.27	75695324	75695809	chr2	-1
evm.TU.scaffold_1014.28	75731945	75748098	chr2	1
evm.TU.scaffold_1014.29	75780335	75781699	chr2	1
evm.TU.scaffold_1014.30	75786489	75794639	chr2	-1
evm.TU.scaffold_1014.31	75798030	75802257	chr2	-1
evm.TU.scaffold_1014.32	75867941	75869269	chr2	1
evm.TU.scaffold_101.43	38181087	38197979	chr6	1
evm.TU.scaffold_1014.33_evm.TU.scaffold_1014.34	75869328	75926563	chr2	1
evm.TU.scaffold_1014.35	75927426	75928538	chr2	1
evm.TU.scaffold_1014.36	75949189	75953398	chr2	-1
evm.TU.scaffold_1014.3	75005179	75014782	chr2	-1
evm.TU.scaffold_1014.37	75961771	75977975	chr2	1
evm.TU.scaffold_1014.38	75981529	75988459	chr2	1
evm.TU.scaffold_101.44	38124244	38149234	chr6	1
evm.TU.scaffold_1014.4	75025971	75030777	chr2	-1
evm.TU.scaffold_101.45	38113552	38113854	chr6	1
evm.TU.scaffold_1014.5	75040954	75042970	chr2	-1
evm.TU.scaffold_101.46	38092447	38093161	chr6	1
evm.TU.scaffold_1014.6	75053163	75074620	chr2	-1
evm.TU.scaffold_101.47	38051099	38065025	chr6	-1
evm.TU.scaffold_1014.7	75080966	75184201	chr2	-1
evm.TU.scaffold_101.48	38041632	38048434	chr6	-1
evm.TU.scaffold_1014.8	75188367	75198189	chr2	-1
evm.TU.scaffold_101.49	38028755	38037083	chr6	1
evm.TU.scaffold_1014.9	75204921	75224704	chr2	-1
evm.TU.scaffold_101.51	38020994	38025408	chr6	-1
evm.TU.scaffold_1015.1	61913568	61938012	chr3	-1
evm.TU.scaffold_101.52	38017091	38020885	chr6	-1
evm.TU.scaffold_1015.2	61910427	61913488	chr3	-1
evm.TU.scaffold_101.53	37968802	37988091	chr6	-1
evm.TU.scaffold_1015.3	61898072	61898229	chr3	1
evm.TU.scaffold_101.5	39698714	39705391	chr6	1
evm.TU.scaffold_101.54	37952381	37953506	chr6	1
evm.TU.scaffold_101.55	37941058	37941579	chr6	-1
evm.TU.scaffold_101.56	37927311	37934768	chr6	-1
evm.TU.scaffold_101.57	37884880	37892652	chr6	-1
evm.TU.scaffold_101.58	37870734	37884718	chr6	-1
evm.TU.scaffold_101.59	37850347	37865681	chr6	1
evm.TU.scaffold_101.60	37816192	37818948	chr6	1
evm.TU.scaffold_1016.2	195233	195705	chr4	-1
evm.TU.scaffold_1016.3	331433	332454	chr4	1
evm.TU.scaffold_101.6	39591592	39592037	chr6	-1
evm.TU.scaffold_1016.4	335619	338881	chr4	1
evm.TU.scaffold_1016.5	371835	373563	chr4	-1
evm.TU.scaffold_101.7	39493930	39522155	chr6	1
evm.TU.scaffold_1018.1	76646400	76648096	chr1	1
evm.TU.scaffold_1018.2	76579396	76606810	chr1	1
evm.TU.scaffold_1018.3	76246462	76247507	chr1	1
evm.TU.scaffold_101.8	39451639	39459585	chr6	1
evm.TU.scaffold_101.9	39412723	39416013	chr6	-1
evm.TU.scaffold_102.10	32869121	32909716	chr3	-1
evm.TU.scaffold_1021.10	129847982	129863002	chr3	1
evm.TU.scaffold_1021.11	129902301	129903352	chr3	1
evm.TU.scaffold_1021.13	129985140	129986225	chr3	-1
evm.TU.scaffold_1021.14	130026338	130031016	chr3	1
evm.TU.scaffold_1021.16	130034685	130057060	chr3	-1
evm.TU.scaffold_1021.2	129620482	129620984	chr3	1
evm.TU.scaffold_102.12	32850575	32850967	chr3	1
evm.TU.scaffold_102.13	32808504	32816844	chr3	-1
evm.TU.scaffold_102.14	32795507	32803739	chr3	1
evm.TU.scaffold_102.15	32651407	32669891	chr3	-1
evm.TU.scaffold_102.16	32589236	32602738	chr3	-1
evm.TU.scaffold_1021.7	129809824	129813925	chr3	-1
evm.TU.scaffold_102.17	32565314	32571577	chr3	-1
evm.TU.scaffold_102.18	32529895	32533381	chr3	1
evm.TU.scaffold_102.19	32529235	32529681	chr3	1
evm.TU.scaffold_102.20	32524297	32525049	chr3	1
evm.TU.scaffold_1022.11	981359	983767	chr5	1
evm.TU.scaffold_1022.15	1047389	1049274	chr5	-1
evm.TU.scaffold_1022.1	853499	869634	chr5	1
evm.TU.scaffold_1022.19	1085178	1087374	chr5	-1
evm.TU.scaffold_1022.21	1132640	1133947	chr5	1
evm.TU.scaffold_102.23	32430018	32466156	chr3	1
evm.TU.scaffold_102.2	33547085	33547688	chr3	1
evm.TU.scaffold_1022.3	871091	891819	chr5	1
evm.TU.scaffold_102.25	32380462	32390492	chr3	1
evm.TU.scaffold_102.26	32360404	32360608	chr3	1
evm.TU.scaffold_102.27	31958241	31960951	chr3	-1
evm.TU.scaffold_1022.7	947404	948239	chr5	-1
evm.TU.scaffold_102.28	31833185	31833776	chr3	-1
evm.TU.scaffold_102.29	31784194	31790792	chr3	-1
evm.TU.scaffold_102.30	31772841	31779726	chr3	-1
evm.TU.scaffold_102.31	31731010	31766750	chr3	1
evm.TU.scaffold_102.32	31729725	31730015	chr3	1
evm.TU.scaffold_102.33	31563575	31593800	chr3	-1
evm.TU.scaffold_102.34	31532633	31557159	chr3	-1
evm.TU.scaffold_102.35	31483159	31484059	chr3	-1
evm.TU.scaffold_1024.3	133710	136175	original_scaffold_1024	1
evm.TU.scaffold_1024.4	137013	143514	original_scaffold_1024	1
evm.TU.scaffold_1024.5	155996	157309	original_scaffold_1024	-1
evm.TU.scaffold_1024.8	266379	267077	original_scaffold_1024	1
evm.TU.scaffold_102.6	33095380	33096040	chr3	1
evm.TU.scaffold_1027.16	79109027	79118967	chr4	1
evm.TU.scaffold_1027.17	79087919	79099645	chr4	-1
evm.TU.scaffold_1027.19	79072439	79074676	chr4	-1
evm.TU.scaffold_1027.20	79053823	79069864	chr4	1
evm.TU.scaffold_1027.22	79046593	79047057	chr4	1
evm.TU.scaffold_1027.23	79025932	79046586	chr4	1
evm.TU.scaffold_1027.25	78914337	78938906	chr4	-1
evm.TU.scaffold_1027.26	78843124	78915048	chr4	1
evm.TU.scaffold_1027.27	78775897	78781306	chr4	1
evm.TU.scaffold_102.7	32957568	32970260	chr3	-1
evm.TU.scaffold_1027.4	79259609	79301171	chr4	-1
evm.TU.scaffold_1027.8	79172739	79182657	chr4	-1
evm.TU.scaffold_102.8	32950033	32950729	chr3	-1
evm.TU.scaffold_1029.14	48395269	48399717	chr8	1
evm.TU.scaffold_1029.1	48706348	48707727	chr8	1
evm.TU.scaffold_1029.15	48379694	48390758	chr8	-1
evm.TU.scaffold_1029.2	48705281	48706141	chr8	1
evm.TU.scaffold_102.9	32910744	32912509	chr3	1
evm.TU.scaffold_1029.3	48698865	48701979	chr8	1
evm.TU.scaffold_1029.4	48673515	48697926	chr8	1
evm.TU.scaffold_1029.5	48551470	48560006	chr8	-1
evm.TU.scaffold_1029.6	48547397	48549537	chr8	-1
evm.TU.scaffold_1029.7	48523246	48535624	chr8	1
evm.TU.scaffold_1029.8	48519007	48521841	chr8	1
evm.TU.scaffold_1029.9	48492326	48504179	chr8	1
evm.TU.scaffold_1030.1	59283069	59284938	chr1	-1
evm.TU.scaffold_1030.2	58925299	58925728	chr1	1
evm.TU.scaffold_103.10	84769722	84774535	chr1	-1
evm.TU.scaffold_1031.1	39934719	39936523	chr4	1
evm.TU.scaffold_1031.2	39916386	39917012	chr4	-1
evm.TU.scaffold_1032.1	158963	159688	original_scaffold_1032	1
evm.TU.scaffold_1032.2	269751	270411	original_scaffold_1032	1
evm.TU.scaffold_1032.3	274962	294409	original_scaffold_1032	1
evm.TU.scaffold_1032.4	324924	325127	original_scaffold_1032	-1
evm.TU.scaffold_1032.6	328868	370264	original_scaffold_1032	-1
evm.TU.scaffold_1033.10	36971246	36988536	chr1	1
evm.TU.scaffold_1033.11	36891855	36907086	chr1	-1
evm.TU.scaffold_1033.12	36890612	36891661	chr1	-1
evm.TU.scaffold_1033.13	36880355	36885199	chr1	1
evm.TU.scaffold_1033.1	37314521	37323993	chr1	-1
evm.TU.scaffold_1033.2	37309997	37311538	chr1	-1
evm.TU.scaffold_103.32	85360380	85365988	chr1	1
evm.TU.scaffold_1033.3	37159508	37291142	chr1	-1
evm.TU.scaffold_103.33	85451159	85451570	chr1	-1
evm.TU.scaffold_1033.4	37099673	37111383	chr1	1
evm.TU.scaffold_1033.5	37077373	37098628	chr1	1
evm.TU.scaffold_1033.6	37060555	37064911	chr1	1
evm.TU.scaffold_1033.7	37045126	37049755	chr1	-1
evm.TU.scaffold_1033.8	37006714	37018044	chr1	-1
evm.TU.scaffold_103.3	84047888	84051876	chr1	-1
evm.TU.scaffold_1033.9	36998717	36999557	chr1	1
evm.TU.scaffold_1035.11	58166084	58166691	chr4	1
evm.TU.scaffold_1035.2	58900967	58908857	chr4	-1
evm.TU.scaffold_1035.3	58871215	58871657	chr4	-1
evm.TU.scaffold_1035.4	58866408	58869660	chr4	1
evm.TU.scaffold_1035.5	58804582	58846650	chr4	1
evm.TU.scaffold_1036.10	54763226	54764443	chr12	-1
evm.TU.scaffold_1036.11	54768863	54782938	chr12	-1
evm.TU.scaffold_1036.16	54916041	54934378	chr12	-1
evm.TU.scaffold_1036.2	54586315	54598100	chr12	-1
evm.TU.scaffold_1036.25	55194719	55195732	chr12	1
evm.TU.scaffold_1036.28	55225393	55242571	chr12	-1
evm.TU.scaffold_1036.3	54679553	54681043	chr12	1
evm.TU.scaffold_1036.4	54694636	54695479	chr12	-1
evm.TU.scaffold_1036.5	54698336	54698716	chr12	-1
evm.TU.scaffold_1036.7	54700449	54703322	chr12	-1
evm.TU.scaffold_1037.12	29655511	29659506	chr1	1
evm.TU.scaffold_1037.1	30021118	30025096	chr1	1
evm.TU.scaffold_1037.14	29614376	29614570	chr1	1
evm.TU.scaffold_1037.15	29613182	29614031	chr1	-1
evm.TU.scaffold_1037.16	29606956	29611779	chr1	-1
evm.TU.scaffold_1037.19	29477970	29506042	chr1	1
evm.TU.scaffold_1037.2	29965091	29993516	chr1	-1
evm.TU.scaffold_1037.23	29329585	29335481	chr1	1
evm.TU.scaffold_1037.24	29274380	29276533	chr1	-1
evm.TU.scaffold_1037.4	29794646	29818227	chr1	-1
evm.TU.scaffold_1037.6	29787515	29788744	chr1	-1
evm.TU.scaffold_1037.7	29733783	29741623	chr1	1
evm.TU.scaffold_1037.8	29715783	29717862	chr1	1
evm.TU.scaffold_103.7	84455926	84457074	chr1	1
evm.TU.scaffold_103.9	84568966	84572955	chr1	1
evm.TU.scaffold_1040.1	3957	5064	original_scaffold_1040	-1
evm.TU.scaffold_1040.2	8728	29463	original_scaffold_1040	-1
evm.TU.scaffold_104.10	35159452	35160740	chr5	1
